                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.67272,                0.42112,                 1.1567,                0.96089,                   0.95,                0.95151,                0.70706,                0.94824,                0.47208,                 1.4525,              0.0013919,              0.0013919,              0.0013919
                    102,                0.71211,                0.41419,                 1.1488,                0.93901,                   0.95,                0.95089,                0.72945,                0.93458,                0.45164,                 1.4514,              0.0013892,              0.0013892,              0.0013892
                    103,                0.70158,                0.41102,                 1.1456,                0.93468,                   0.95,                0.93038,                0.72273,                0.97592,                0.45674,                 1.4773,              0.0013864,              0.0013864,              0.0013864
                    104,                0.70703,                 0.4104,                 1.1354,                 0.9347,                   0.95,                0.93985,                 0.7278,                0.96561,                0.44664,                 1.4343,              0.0013837,              0.0013837,              0.0013837
                    105,                0.67573,                0.41528,                 1.1323,                 0.9387,                   0.95,                0.94976,                 0.7244,                0.93172,                 0.4609,                 1.4014,              0.0013809,              0.0013809,              0.0013809
                    106,                0.71394,                0.42658,                 1.1442,                0.93385,                   0.95,                0.94326,                0.71363,                0.94177,                0.49658,                 1.4352,              0.0013782,              0.0013782,              0.0013782
                    107,                0.68242,                0.40621,                 1.1187,                0.93005,                   0.95,                0.92881,                0.70563,                0.97439,                0.51524,                 1.4632,              0.0013754,              0.0013754,              0.0013754
                    108,                0.60829,                0.41803,                 1.0955,                0.93154,                   0.95,                0.91952,                0.70273,                 0.9721,                0.51068,                 1.4097,              0.0013727,              0.0013727,              0.0013727
                    109,                0.66812,                0.41196,                 1.1397,                0.93163,                   0.95,                0.93417,                0.70379,                0.95088,                0.48241,                 1.3603,              0.0013699,              0.0013699,              0.0013699
                    110,                0.62773,                0.37855,                 1.0932,                0.92992,                   0.95,                0.94619,                0.71502,                0.90189,                0.48271,                 1.3363,              0.0013672,              0.0013672,              0.0013672
                    111,                0.67724,                0.40952,                  1.139,                0.93079,                   0.95,                0.94562,                0.71393,                0.90242,                0.47851,                 1.3484,              0.0013644,              0.0013644,              0.0013644
                    112,                0.68346,                0.39353,                 1.0971,                0.92862,                   0.95,                0.91076,                 0.6963,                0.90756,                0.49162,                 1.3422,              0.0013617,              0.0013617,              0.0013617
                    113,                0.63881,                 0.3769,                 1.0892,                 0.9315,                   0.95,                0.91089,                0.70805,                0.97134,                0.51578,                 1.3875,              0.0013589,              0.0013589,              0.0013589
                    114,                0.70894,                0.42663,                  1.141,                0.93132,                   0.95,                0.91353,                0.71907,                0.98064,                0.47805,                 1.3921,              0.0013562,              0.0013562,              0.0013562
                    115,                0.67131,                0.39292,                 1.1397,                 0.9327,                   0.95,                0.91531,                 0.6943,                0.93853,                0.45766,                 1.3649,              0.0013534,              0.0013534,              0.0013534
                    116,                0.68866,                0.41963,                 1.1786,                0.93305,                   0.95,                0.91228,                0.68149,                0.92458,                0.50425,                  1.399,              0.0013507,              0.0013507,              0.0013507
                    117,                0.66166,                0.42676,                 1.1374,                0.93189,                   0.95,                0.93728,                0.71165,                0.92598,                0.48121,                 1.4135,              0.0013479,              0.0013479,              0.0013479
                    118,                0.68232,                0.40713,                 1.1387,                0.98714,                0.94695,                 0.9549,                0.71852,                0.91797,                0.49122,                 1.4237,              0.0013452,              0.0013452,              0.0013452
                    119,                0.66043,                0.42569,                 1.1618,                0.97816,                   0.95,                0.95353,                0.72158,                0.92109,                0.49171,                 1.4392,              0.0013424,              0.0013424,              0.0013424
                    120,                0.63536,                0.39867,                 1.1127,                 0.9353,                   0.95,                0.94798,                0.71071,                 1.0567,                0.56576,                 1.6096,              0.0013397,              0.0013397,              0.0013397
                    121,                0.62467,                0.39595,                 1.1099,                0.93205,                   0.95,                0.92417,                0.68356,                 1.0597,                0.56567,                 1.6234,              0.0013369,              0.0013369,              0.0013369
