                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    142,                0.67508,                0.31858,                  1.017,                0.98529,                      1,                  0.995,                0.80073,                0.76853,                 0.3282,                 1.1107,             0.00050352,             0.00050352,             0.00050352
                    143,                0.65787,                0.31903,                 1.0192,                0.98515,                      1,                  0.995,                0.79322,                0.77965,                0.32633,                 1.1111,             0.00049527,             0.00049527,             0.00049527
                    144,                0.65837,                0.32256,                  1.026,                0.98735,                      1,                  0.995,                0.77579,                0.85705,                0.35311,                 1.1465,             0.00048701,             0.00048701,             0.00048701
                    145,                0.70015,                0.32639,                 1.0227,                0.98705,                      1,                  0.995,                 0.7716,                0.86806,                0.36454,                 1.1516,             0.00047876,             0.00047876,             0.00047876
                    146,                0.67243,                0.31343,                 1.0312,                0.98591,                      1,                  0.995,                0.78899,                0.81837,                0.33541,                 1.1166,             0.00047051,             0.00047051,             0.00047051
                    147,                 0.6849,                0.31994,                 1.0331,                 0.9858,                      1,                  0.995,                0.79206,                0.78975,                0.33436,                 1.1056,             0.00046226,             0.00046226,             0.00046226
                    148,                0.66239,                0.31023,                 1.0067,                0.98417,                      1,                  0.995,                0.79634,                0.79281,                0.34127,                 1.1177,             0.00045401,             0.00045401,             0.00045401
                    149,                 0.6697,                0.31307,                 1.0191,                0.98496,                      1,                  0.995,                0.79671,                0.82249,                0.33437,                 1.1372,             0.00044576,             0.00044576,             0.00044576
                    150,                0.68857,                0.31284,                 1.0312,                0.98504,                      1,                  0.995,                0.78457,                0.84428,                0.32719,                 1.1481,              0.0004375,              0.0004375,              0.0004375
                    151,                0.65375,                0.30746,                 1.0238,                0.98589,                      1,                  0.995,                0.79439,                0.83703,                0.32823,                 1.1375,             0.00042925,             0.00042925,             0.00042925
                    152,                0.64962,                0.30251,                 1.0149,                0.98602,                      1,                  0.995,                0.78455,                0.82178,                0.33397,                 1.1229,               0.000421,               0.000421,               0.000421
                    153,                0.67602,                0.32315,                  1.042,                0.98481,                      1,                  0.995,                0.77711,                0.82399,                0.32794,                 1.1235,             0.00041275,             0.00041275,             0.00041275
                    154,                0.64962,                0.30256,                 1.0338,                0.98344,                      1,                  0.995,                0.77796,                0.83704,                0.31791,                 1.1405,              0.0004045,              0.0004045,              0.0004045
